file,person_id,session,lighting,distance_cm,is_spoof,spoof_type,capture_date
images/s20260911a_000.png,viet,s20260911a,,,0,,2026-09-11T18:03:21
images/s20260911a_001.png,viet,s20260911a,,,0,,2026-09-11T18:03:26
images/s20260911a_002.png,viet,s20260911a,,,0,,2026-09-11T18:03:35
images/s20260911a_003.png,viet,s20260911a,,,0,,2026-09-11T18:03:47
images/s20260911a_004.png,viet,s20260911a,,,0,,2026-09-11T18:03:50
images/s20260911a_005.png,viet,s20260911a,,,0,,2026-09-11T18:03:56
images/s20260911a_006.png,viet,s20260911a,,,0,,2026-09-11T18:04:04
images/s20260911a_007.png,viet,s20260911a,,,0,,2026-09-11T18:04:18
images/s20260911a_008.png,viet,s20260911a,,,0,,2026-09-11T18:04:28
images/s20260911a_009.png,viet,s20260911a,,,0,,2026-09-11T18:04:38
images/s20260911a_010.png,viet,s20260911a,,,0,,2026-09-11T18:04:48
images/s20260911a_011.png,viet,s20260911a,,,0,,2026-09-11T18:05:02
images/s20260911b_000.png,viet,s20260911b,,,0,,2026-09-11T18:11:33
images/s20260911b_001.png,viet,s20260911b,,,0,,2026-09-11T18:11:37
images/s20260911b_002.png,viet,s20260911b,,,0,,2026-09-11T18:11:55
images/s20260911b_003.png,viet,s20260911b,,,0,,2026-09-11T18:12:03
images/s20260911b_004.png,viet,s20260911b,,,0,,2026-09-11T18:12:10
images/s20260911c_000.png,viet,s20260911c,,,0,,2026-09-11T18:16:50
images/s20260911c_001.png,viet,s20260911c,,,0,,2026-09-11T18:17:36
images/s20260911d_000.png,viet,s20260911d,,,0,,2026-09-11T18:18:07
images/s20260911d_001.png,viet,s20260911d,,,0,,2026-09-11T18:18:21
images/s20260911d_002.png,viet,s20260911d,,,0,,2026-09-11T18:18:27
images/s20260911d_003.png,viet,s20260911d,,,0,,2026-09-11T18:18:33
images/s20260911d_004.png,viet,s20260911d,,,0,,2026-09-11T18:18:40
images/s20260911d_005.png,viet,s20260911d,,,0,,2026-09-11T18:18:47
images/s20260911d_006.png,viet,s20260911d,,,0,,2026-09-11T18:18:53
images/s20260911d_007.png,viet,s20260911d,,,0,,2026-09-11T18:18:59
images/s20260911d_008.png,viet,s20260911d,,,0,,2026-09-11T18:19:05
images/s20260911d_009.png,viet,s20260911d,,,0,,2026-09-11T18:19:12
images/s20260911d_010.png,viet,s20260911d,,,0,,2026-09-11T18:19:19
images/s20260911d_011.png,viet,s20260911d,,,0,,2026-09-11T18:19:25
images/s20260911d_012.png,viet,s20260911d,,,0,,2026-09-11T18:19:37
images/s20260911d_013.png,viet,s20260911d,,,0,,2026-09-11T18:19:43
images/s20260911d_014.png,viet,s20260911d,,,0,,2026-09-11T18:19:57
images/s20260911d_015.png,viet,s20260911d,,,0,,2026-09-11T18:20:04
images/s20260911d_016.png,viet,s20260911d,,,0,,2026-09-11T18:20:09
images/s20260911d_017.png,viet,s20260911d,,,0,,2026-09-11T18:20:15
